ID,LAST_UPDATED_TIMESTAMP,POSTED,TITLE_RAW,TITLE_CLEAN,TITLE_NAME,ONET,ONET_NAME,SOC_2021_5,SOC_2021_5_NAME,SOC_5,SOC_5_NAME,COMPANY_NAME,CITY_NAME,STATE_NAME,NAICS_2022_6,NAICS_2022_6_NAME,ROLE_SEGMENT,ROLE_MATCH_REASON,SCOPE_TIER,SOC_DATA_SCIENTIST_MAPPING,MAPPING_ONLY_CORE_RISK
0974796cdc3254fb7e01dd009d4be4d701331c6a,2024-09-06 20:32:57.352 Z,6/25/2024,Technical Architect,technical architect,Technical Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Salesforce,"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
099b2838939da1dd901f7510722210b0f19e73c9,2024-10-09 16:54:50.883 Z,8/7/2024,"Senior Manager, Analyst Relations, Oracle Health",senior manager analyst relations health,Analyst Relations Managers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Frankfort, KY",Kentucky,513210,Software Publishers,,,,Yes,Yes
09c067e4b5af810ceb0707a5ec77a0044b0532af,2024-10-26 13:32:31.427 Z,9/25/2024,Cloud Solution Architect - Enterprise Voice - CTJ - Poly,cloud solution architect enterprise voice ctj poly,Cloud Solution Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Microsoft,"Elkridge, MD",Maryland,513210,Software Publishers,,,,Yes,Yes
09cca53d91546b284fe4c9e043c95045f02b1a65,2024-10-08 13:48:14.412 Z,9/23/2024,"Director, Cloud HCM Customer Program Manager",director cloud hcm customer program manager,Oracle Cloud HCM Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Pierre, SD",South Dakota,513210,Software Publishers,,,,Yes,Yes
09dd000028f4ac590f4083fc6d6062c4a055a95b,2024-10-08 13:48:14.412 Z,9/22/2024,Healthcare Application Rationalization Business Analyst,healthcare application rationalization business analyst,Healthcare Business Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Divurgent,"[Unknown City], NJ",New Jersey,513210,Software Publishers,,,,Yes,Yes
09ebd5551a8e7f4dfff44dac1b3e352ab591d719,2024-10-18 23:44:27.286 Z,9/18/2024,"Data Analyst, Business Intelligence",data analyst business intelligence,Business Intelligence Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Doximity,"San Francisco, CA",California,513210,Software Publishers,,,,Yes,Yes
0a5982cf5104413bc1981a690839ca72882835c7,2024-09-15 13:44:59.185 Z,5/22/2024,"Software Architect, Enterprise Systems",software architect enterprise systems,Enterprise Software Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Autodesk,"San Francisco, CA",California,513210,Software Publishers,,,,Yes,Yes
0a6c000d46f23093e4ab9bfd3111b2c1b822bb28,2024-10-19 13:48:18.976 Z,7/12/2024,Enterprise Cloud Solutions Architect- Financial Services,enterprise cloud solutions architect financial services,Enterprise Cloud Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Vienna, VA",Virginia,513210,Software Publishers,,,,Yes,Yes
0a78de4d8e3d09af32168f780e21fcebf8382f47,2024-09-06 20:32:57.352 Z,7/30/2024,SAP SD/LE Consultant,sap sd le consultant,SAP SD/MM Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Aanseacore,"Boise, ID",Idaho,513210,Software Publishers,,,,Yes,Yes
0aac2bf9b95f15ad84c309595c3ee39d5a7c1b2a,2024-09-16 13:58:06.058 Z,8/8/2024,Senior Data Analyst,senior data analyst,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Autodesk,"San Francisco, CA",California,513210,Software Publishers,,,,Yes,Yes
0acbd7eab54ff2ccb074cf8c0dd40d144a2044d3,2024-09-06 20:32:57.352 Z,7/9/2024,"Lead Analytics Consultant, Real World Data Insights",lead analytics consultant real world data insights,Lead Analytics Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Healthverity,"Horsham, PA",Pennsylvania,513210,Software Publishers,,,,Yes,Yes
0ae4ef248af809d0307bfe454e7165caee28114b,2024-09-06 20:32:57.352 Z,7/3/2024,CX Cloud Consulting Technical Manager - Oracle Subscription Management Cloud,cx cloud consulting technical manager subscription management cloud,Oracle Cloud Technical Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Columbus, OH",Ohio,513210,Software Publishers,,,,Yes,Yes
0b29634f2e92af5106dc7fa958826e5f98f276b8,2024-09-06 20:32:57.352 Z,5/29/2024,SCM Cloud Techno-Functional Analyst,scm cloud techno functional analyst,Techno Functional Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Springfield, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
0b55a2d2abb0d373b94f4063b3fcf73c940d16e0,2024-10-07 13:57:55.780 Z,9/28/2024,Principal - Enterprise Architect - Federal,principal enterprise architect federal,Principal Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Workday,"McLean, VA",Virginia,513210,Software Publishers,,,,Yes,Yes
0b6cbaa65a00113f3d69b3481173a07412216a43,2024-10-09 18:07:44.758 Z,5/10/2024,Lease Center of Excellence Data Analyst,lease center of excellence data analyst,Operational Excellence Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Microsoft,"Redmond, WA",Washington,513210,Software Publishers,,,,Yes,Yes
0b7518f104f013b44774e5292af499386983b446,2024-10-09 18:07:44.758 Z,8/31/2024,OPERA Reporting & Analytics Consultant - Oracle Hospitality & Leisure,opera reporting analytics consultant hospitality leisure,Hospitality Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Springfield, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
0bb40ea53fc4b9c94cc0ff747a5bd6365590b198,2024-10-09 18:07:44.758 Z,5/3/2024,"Sr. Data Engineer, Analytics",sr data engineer analytics,Data Analytics Engineers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Quizlet,"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
0c1ee2a35ed23e77a98d88d7a4ac8392aa630edf,2024-09-06 20:32:57.352 Z,5/23/2024,OFSAA FCCM Consulting Manager,ofsaa fccm consulting manager,OFSAA Business Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Honolulu, HI",Hawaii,513210,Software Publishers,,,,Yes,Yes
0c29fdafd5c97ace833bd5ed88e085dc5dba1d30,2024-10-09 18:07:44.758 Z,9/28/2024,Oracle Health - Federal Senior Staff Test Consultant,health federal senior staff test consultant,Federal Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Boston, MA",Massachusetts,513210,Software Publishers,,,,Yes,Yes
0c2dabf323d1c058f1d2c5a5c39b807fdaac076d,2024-09-30 14:12:46.599 Z,7/31/2024,Associate Business Intelligence Analyst,associate business intelligence analyst,Business Intelligence Associates,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Autodesk,"San Francisco, CA",California,513210,Software Publishers,,,,Yes,Yes
0c541322a27745317bab6abc02d4b00ce1c09497,2024-06-17 07:00:00.000 Z,5/7/2024,Systems Architect(With Healthcare Insurance Experience),systems architect with healthcare insurance experience,Insurance/Healthcare Representatives,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Global Bridge Infotech,"Washington, DC","Washington, D.C. (District of Columbia)",513210,Software Publishers,,,,Yes,Yes
0cae2844013f31c7ebd16750d55188f5054d2d40,2024-10-09 18:07:44.758 Z,7/30/2024,Data Analyst,data analyst,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,KE Staffing,"Mundelein, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
0d00d2856aabcca05162b7c26eb501c7747f0a86,2024-09-20 23:11:02.693 Z,8/6/2024,Corporate Systems Architect,corporate systems architect,Corporate Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Tanium,"Durham, NC",North Carolina,513210,Software Publishers,,,,Yes,Yes
0d5426e19eef2a99d2cccc17f2da98637abe69f5,2024-09-15 13:44:59.185 Z,9/10/2024,GRC Security Analyst,grc security analyst,GRC Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Sprinklr,"[Unknown City], MA",Massachusetts,513210,Software Publishers,,,,Yes,Yes
0d9485173a5ce53f12cdde15bf663ef1afa33be7,2024-10-18 23:44:27.286 Z,9/16/2024,Oracle SCM Cloud Applications Solution Advisor,scm cloud applications solution advisor,Oracle Cloud Solution Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Tallahassee, FL",Florida,513210,Software Publishers,,,,Yes,Yes
0dd4d6df8d8cbbfa0f69f0434849387b01b955e8,2024-09-06 20:32:57.352 Z,5/12/2024,Oracle HCM Cloud Applications Solution Advisor,hcm cloud applications solution advisor,Oracle Cloud HCM Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Helena, MT",Montana,513210,Software Publishers,,,,Yes,Yes
